"List of International Social Media Bans and Restrictions Against Teens - Dynamic Teen Coalition 2025 (Compiled by Aditya Majumdar, DTC Board Member and Ambassador, Contact: adityamajumdar2008@gmail.com)   https://linktr.ee/dtcigf",,,,,,
Country,Law Name ,Date ,Status of Implementation,Ages Affected,Description,Source
Czech Republic,Act of 12 March 2019 on Personal Data Processing,3/12/2019,Passed,<15,Individuals under 15 will require parental consent to make a social media account.,"https://fra.europa.eu/en/publication/2017/mapping-minimum-age-requirements-concerning-rights-child-eu/consent-use-data-children?form=MG0AV3, https://uoou.gov.cz/media/act-no-110-2019-coll.pdf"
Spain ,Organic Law 3/2018 (Data Protection Act) ,12/5/2018,Passed,,Individuals under 15 will require parental consent to make a social media account.,https://www.boe.es/buscar/act.php?id=BOE-A-2018-16673
Slovenia,Zakon o Varstvu Osebnih Podatkov (ZVOP-1) ,12/14/2022,Passed,,Individuals under 15 will require parental consent to make a social media account.,https://pisrs.si/pregledPredpisa?id=ZAKO7959
Greece,Law No. 4624/2019,8/29/2019,Passed,,Individuals under 15 will require parental consent to make a social media account.,https://www.dpa.gr/sites/default/files/2020-08/LAW%204624_2019_EN_TRANSLATED%20BY%20THE%20HDPA.PDF
Denmark,GDPR Article 8,5/23/2018,Passed,,Individuals under 15 will require parental consent to make a social media account.,https://www.datatilsynet.dk/media/7753/danish-data-protection-act.pdf
Austria,Federal Law 165/1999 (Data Protection Act) ,5/28/2018,Passed,<14,Individuals under 14 require parental consent to make a social media account.,https://www.ris.bka.gv.at/Dokumente/Erv/ERV_1999_1_165/ERV_1999_1_165.pdf
Lithuania,Law on Legal Protection of Personal Data ,5/28/2018,Passed,,Individuals under 14 will require parental consent to make a social media account.,https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/ef70b5d2f14811e78f3dc265493430ae
Bulgaria,Personal Data Protection Act,3/2/2019,Passed,,Individuals under 14 require parental consent to make a social media account.,https://www.lexology.com/library/detail.aspx?g=72b6ab67-02ba-4ea4-8b54-f5f591bf1908
Cyprus,Law 125(I) of 2018 ,10/16/2018,Passed,,Individuals under 14 require parental consent to make a social media account.,https://www.dataprotection.gov.cy/dataprotection/dataprotection.nsf/2B53605103DCE4A4C225826300362211/$file/Law%20125(I)%20of%202018%20ENG%20final.pdf
Italy,Personal Data Protection Code ,5/28/2018,Passed,,Individuals under 14 will require parental consent to make a social media account.,https://registrodelleopposizioni.it/wp-content/uploads/2022/07/ITALIAN_PERSONAL_DATA_PROTECTION_CODE.pdf
Finland,Data Protection Act (1050/2018),5/12/2018,Passed,<13,Individuals under 13 will require parental consent to make a social media account.,https://finlex.fi/en/legislation/collection/2018/1050
Iceland,Act on Data Protection and the Processing of Personal Data ,6/27/2018,Passed,,Individuals under 13 will require parental consent to make a social media account.,https://gamli.personuvernd.is/media/leidbeiningar-personuverndar/Act_No_90_2018_on_Data_Protection_and_Processing_of_Personal_Data.pdf
Belgium,Act of 30 July 2018 on the Protection of Natural Persons with Regard to the Processing of Personal Data ,6/30/2018,Passed,,Individuals under 13 require parental consent to make a social media account.,https://www.dataprotectionauthority.be/publications/act-of-30-july-2018.pdf
Malta,Data Protection Act ,5/28/2018,Passed,,Individuals under 13 require parental consent to make a social media account.,https://idpc.org.mt/wp-content/uploads/2020/07/CAP-586.pdf
Estonia,Personal Data Protection Act (PDPA) 2018 ,12/12/2018,Passed,,Individuals under 13 require parental consent to make a social media account.,https://www.riigiteataja.ee/en/eli/523012019001/consolide
Norway,Act relating to the processing of personal data (The Personal Data Act),7/20/2018,Passed,,Individuals under 13 require parental consent to make a social media account.,https://lovdata.no/dokument/NLE/lov/2018-06-15-38
Latvia,Personal Data Processing Law 2021 ,5/6/2021,Passed,,Individuals under 13 will require parental consent to make a social media account.,https://likumi.lv/ta/en/en/id/300099-personal-data-processing-law
Poland,GDPR Article 8,5/28/2018,Pending,,Individuals under 13 will require parental consent to make a social media account.,https://fra.europa.eu/en/publication/2017/mapping-minimum-age-requirements-concerning-rights-child-eu/consent-use-data-children?form=MG0AV3
Portugal,Act 58/2019 (Data Protection Act) ,8/8/2019,Passed,,Individuals under 13 will require parental consent to make a social media account.,https://files.dre.pt/1s/2019/08/15100/0000300040.pdf
United Kingdom,GDPR Article 8,5/28/2018,Passed,,Individuals under 13 require parental consent to make a social media account.,https://fra.europa.eu/en/publication/2017/mapping-minimum-age-requirements-concerning-rights-child-eu/consent-use-data-children?form=MG0AV3
Sweden,Lag (2018:218) (Data Protection Act) ,4/19/2018,Passed,,Individuals under 13 will require parental consent to make a social media account.,https://www.riksdagen.se/sv/dokument-och-lagar/dokument/svensk-forfattningssamling/lag-2018218-med-kompletterande-bestammelser_sfs-2018-218/
Sweden,Teen Social Media Ban ,12/9/2024,Proposed,unknown,"Due to gang recruitment of children as young as 11 on swedish social media for murders and bombing in the Nordics, Swedish Justice Minister Gunnar Strommer suggested a total social media ban for teens. ","https://san.com/cc/sweden-considers-social-media-ban-to-stop-youth-gang-recruitment/ , https://www.reuters.com/world/europe/sweden-mulling-social-media-age-limit-stop-gangs-recruiting-young-people-2024-12-09/"
Philipines,House Bill 543: Social Media Regulation and Protection Act,6/20/2022,Proposed,<13,"Individuals 13 and under are outright banned from all social media, social media screen time is set to an adjustable 30 mins a day.",https://docs.congress.hrep.online/legisdocs/basic_19/HB00543.pdf
Greece,Social Media Regulations for Under 15s*,12/30/2024,Pending,<15,Individuals under 15 will be regulated in social media usage and there will be content checks; there will also be a mandatory age verification.,"https://greekcitytimes.com/2024/12/30/greece-social-media-minors/,https://greekreporter.com/2024/12/11/greece-among-countries-set-social-media-restrictions-young-users/?form=MG0AV3&form=MG0AV3"
Vietnam,Decree 147/2024/ND-CP,11/9/2024,Passed,<16,Individulals under 16 must have parents make and monitor accounts for them. ,"https://entlaw.com.vn/issue-of-november-2024-new-regulations-on-the-management-provision-and-use-of-internet-services-and-online-information/?form=MG0AV3&form=MG0AV3,https://lawnet.vn/en/vb/Decree-147-2024-ND-CP-management-provision-and-use-of-Internet-services-9B51B.html"
Türkiye,Implementation of Digital Identity Verification System*,12/23/2024,Pending,<16,New system will verify users 16 and above before accessing social media.,https://www.turkishminute.com/2024/12/23/turkey-to-limit-social-media-access-to-users-over-16-minister/?form=MG0AV3&form=MG0AV3
Türkiye,Changes to Law No. 5651*,11/28/2024,Proposed,<13,Proposed law will ban users under 13 from accessing social media completely.,https://www.turkiyetoday.com/turkiye/turkiye-moves-to-restrict-social-media-access-for-children-under-13-85673/?form=MG0AV3&form=MG0AV3
India ,Digital Data Protection Act,8/11/2023,Passed,<18,"Law implements age verification systems, restrict the monitoring of data, and will require parental consent for the opening of a social media account.","https://www.socialsamosa.com/decode/decoding-how-different-countries-regulating-social-media-for-teenagers-8444824, https://blog.ipleaders.in/digital-personal-data-protection-act-dpdpa-2023/?form=MG0AV3"
United States ,Children’s Online Privacy Protection Rule (COPPA),4/21/2000,Passed,<13,Under 13s need parental consent to create a social media account.,https://www.federalreserve.gov/boarddocs/supmanual/cch/coppa.pdf
Canada ,Potential Ban for Under 16s,11/29/2024,Proposed,<16,"Quebec is considering a ban on social media for under 16s, they will come out with a complete report in May 2025.",https://nationalpost.com/news/canada/australia-social-media-ban-quebec-watching
Singapore,Potential Ban for Under 16s,11/28/2024,Proposed,<16,"Following Australia, the Ministry for Digital Development and Information is proposing a ban for under 16s. ",https://insightplus.bakermckenzie.com/bm/technology-media-telecommunications_1/singapore-government-in-talks-with-australia-on-potential-social-media-ban-for-children
New Zealand,Social Media Age-Restricted Users Bill,3/21/2025,Proposed,<16,New Zealand wants to ban some forms of social media for under 16s. ,https://www.legislation.govt.nz/bill/member/2025/0216/latest/d5727149e2.html
Pakistan,Social Media (Age Restriction for Users) Bill 2025,7/21/2025,Passed,<16,Senators Sarmad Ali and Masroor Ahmed propose a bill to ban teens under 16 from accessing social media platforms; it was reportedly passed in senate. ,https://tribune.com.pk/story/2557117/senate-introduces-bill-to-ban-social-media-accounts-for-under-16s
Nepal,Supreme Court Case Number 080-CF-0012,9/4/2025,Passed,All,This was the law that led to the 2025 Gen-Z uprising in Nepal. ,"https://supremecourt.gov.np/web/assets/downloads/080-CF-0012.pdf (no english translation found), https://english.nepalviews.com/2025/09/05/nepal-government-misinterprets-supreme-court-order-to-ban-social-media-platforms?utm_source=chatgpt.com"
